symbol,display_symbol,description,exchange
BINANCE:USDTBKRW,USDT/BKRW,Binance USDT/BKRW,BINANCE
BINANCE:APEUSDT,APE/USDT,Binance APE/USDT,BINANCE
BINANCE:TRXDOWNUSDT,TRXDOWN/USDT,Binance TRXDOWN/USDT,BINANCE
BINANCE:C98BNB,C98/BNB,Binance C98/BNB,BINANCE
BINANCE:HIVEUSDT,HIVE/USDT,Binance HIVE/USDT,BINANCE
BINANCE:REEFBTC,REEF/BTC,Binance REEF/BTC,BINANCE
BINANCE:USDTIDRT,USDT/IDRT,Binance USDT/IDRT,BINANCE
BINANCE:FXSBTC,FXS/BTC,Binance FXS/BTC,BINANCE
BINANCE:BELBNB,BEL/BNB,Binance BEL/BNB,BINANCE
BINANCE:PHBPAX,PHB/PAX,Binance PHB/PAX,BINANCE
BINANCE:ATOMBTC,ATOM/BTC,Binance ATOM/BTC,BINANCE
BINANCE:1INCHDOWNUSDT,1INCHDOWN/USDT,Binance 1INCHDOWN/USDT,BINANCE
BINANCE:FTMPAX,FTM/PAX,Binance FTM/PAX,BINANCE
BINANCE:GALBNB,GAL/BNB,Binance GAL/BNB,BINANCE
BINANCE:NEBLBUSD,NEBL/BUSD,Binance NEBL/BUSD,BINANCE
BINANCE:KDABTC,KDA/BTC,Binance KDA/BTC,BINANCE
BINANCE:GXSBTC,GXS/BTC,Binance GXS/BTC,BINANCE
BINANCE:BQXBTC,BQX/BTC,Binance BQX/BTC,BINANCE
BINANCE:FXSUSDT,FXS/USDT,Binance FXS/USDT,BINANCE
BINANCE:BURGERBNB,BURGER/BNB,Binance BURGER/BNB,BINANCE
BINANCE:STXUSDT,STX/USDT,Binance STX/USDT,BINANCE
BINANCE:IDEXBUSD,IDEX/BUSD,Binance IDEX/BUSD,BINANCE
BINANCE:USDCTUSD,USDC/TUSD,Binance USDC/TUSD,BINANCE
BINANCE:ADAEUR,ADA/EUR,Binance ADA/EUR,BINANCE
BINANCE:DOGEEUR,DOGE/EUR,Binance DOGE/EUR,BINANCE
BINANCE:LUNBTC,LUN/BTC,Binance LUN/BTC,BINANCE
BINANCE:COSBTC,COS/BTC,Binance COS/BTC,BINANCE
BINANCE:SHIBTRY,SHIB/TRY,Binance SHIB/TRY,BINANCE
BINANCE:DATAETH,DATA/ETH,Binance DATA/ETH,BINANCE
BINANCE:VITEUSDT,VITE/USDT,Binance VITE/USDT,BINANCE
BINANCE:BTTEUR,BTT/EUR,Binance BTT/EUR,BINANCE
BINANCE:FILBUSD,FIL/BUSD,Binance FIL/BUSD,BINANCE
BINANCE:SOLBTC,SOL/BTC,Binance SOL/BTC,BINANCE
BINANCE:DUSKPAX,DUSK/PAX,Binance DUSK/PAX,BINANCE
BINANCE:WPRBTC,WPR/BTC,Binance WPR/BTC,BINANCE
BINANCE:COMPBNB,COMP/BNB,Binance COMP/BNB,BINANCE
BINANCE:DATAUSDT,DATA/USDT,Binance DATA/USDT,BINANCE
BINANCE:USDTBVND,USDT/BVND,Binance USDT/BVND,BINANCE
BINANCE:TRXEUR,TRX/EUR,Binance TRX/EUR,BINANCE
BINANCE:STRATBUSD,STRAT/BUSD,Binance STRAT/BUSD,BINANCE
BINANCE:AUTOBUSD,AUTO/BUSD,Binance AUTO/BUSD,BINANCE
BINANCE:AUCTIONUSDT,AUCTION/USDT,Binance AUCTION/USDT,BINANCE
BINANCE:BCCBTC,BCC/BTC,Binance BCC/BTC,BINANCE
BINANCE:STPTBTC,STPT/BTC,Binance STPT/BTC,BINANCE
BINANCE:DOGERUB,DOGE/RUB,Binance DOGE/RUB,BINANCE
BINANCE:AIONBUSD,AION/BUSD,Binance AION/BUSD,BINANCE
BINANCE:WRXEUR,WRX/EUR,Binance WRX/EUR,BINANCE
